ZIP,STCOUNTYFP,CITY,STATE,COUNTYNAME,CLASSFP
36091,01001,Verbena,AL,Autauga County,H1
36758,01001,Plantersville,AL,Autauga County,H1
36006,01001,Billingsley,AL,Autauga County,H1
36067,01001,Prattville,AL,Autauga County,H1
36701,01001,Selma,AL,Autauga County,H1
36003,01001,Autaugaville,AL,Autauga County,H1
36008,01001,Booth,AL,Autauga County,H1
36068,01001,Prattville,AL,Autauga County,H1
36022,01001,Deatsville,AL,Autauga County,H1
36703,01001,Selma,AL,Autauga County,H1
36749,01001,Jones,AL,Autauga County,H1
36066,01001,Prattville,AL,Autauga County,H1
36051,01001,Marbury,AL,Autauga County,H1
36502,01003,Atmore,AL,Baldwin County,H1
36507,01003,Bay minette,AL,Baldwin County,H1
36527,01003,Daphne,AL,Baldwin County,H1
36532,01003,Fairhope,AL,Baldwin County,H1
36561,01003,Orange beach,AL,Baldwin County,H1
36550,01003,Little river,AL,Baldwin County,H1
36564,01003,Point clear,AL,Baldwin County,H1
36579,01003,Stockton,AL,Baldwin County,H1
36526,01003,Daphne,AL,Baldwin County,H1
36551,01003,Loxley,AL,Baldwin County,H1
36555,01003,Magnolia springs,AL,Baldwin County,H1
36542,01003,Gulf shores,AL,Baldwin County,H1
36567,01003,Robertsdale,AL,Baldwin County,H1
36533,01003,Fairhope,AL,Baldwin County,H1
36576,01003,Silverhill,AL,Baldwin County,H1
36580,01003,Summerdale,AL,Baldwin County,H1
36547,01003,Gulf shores,AL,Baldwin County,H1
36559,01003,Montrose,AL,Baldwin County,H1
36562,01003,Perdido,AL,Baldwin County,H1
36549,01003,Lillian,AL,Baldwin County,H1
36577,01003,Spanish fort,AL,Baldwin County,H1
36511,01003,Bon secour,AL,Baldwin County,H1
36530,01003,Elberta,AL,Baldwin County,H1
36480,01003,Uriah,AL,Baldwin County,H1
36535,01003,Foley,AL,Baldwin County,H1
36574,01003,Seminole,AL,Baldwin County,H1
36536,01003,Foley,AL,Baldwin County,H1
36578,01003,Stapleton,AL,Baldwin County,H1
36017,01005,Clio,AL,Barbour County,H1
36016,01005,Clayton,AL,Barbour County,H1
36317,01005,Clopton,AL,Barbour County,H1
36072,01005,Eufaula,AL,Barbour County,H1
36311,01005,Ariton,AL,Barbour County,H1
36048,01005,Louisville,AL,Barbour County,H1
36053,01005,Midway,AL,Barbour County,H1
36374,01005,Skipperville,AL,Barbour County,H1
36027,01005,Eufaula,AL,Barbour County,H1
35115,01007,Montevallo,AL,Bibb County,H1
35184,01007,West blocton,AL,Bibb County,H1
36750,01007,Maplesville,AL,Bibb County,H1
36756,01007,Marion,AL,Bibb County,H1
35074,01007,Green pond,AL,Bibb County,H1
35042,01007,Centreville,AL,Bibb County,H1
35111,01007,Mc calla,AL,Bibb County,H1
35456,01007,Duncanville,AL,Bibb County,H1
36792,01007,Randolph,AL,Bibb County,H1
35080,01007,Helena,AL,Bibb County,H1
35188,01007,Woodstock,AL,Bibb County,H1
35034,01007,Brent,AL,Bibb County,H1
35035,01007,Brierfield,AL,Bibb County,H1
36793,01007,Lawley,AL,Bibb County,H1
35063,01009,Empire,AL,Blount County,H1
35146,01009,Springville,AL,Blount County,H1
35980,01009,Horton,AL,Blount County,H1
35013,01009,Allgood,AL,Blount County,H1
35126,01009,Pinson,AL,Blount County,H1
35097,01009,Locust fork,AL,Blount County,H1
35049,01009,Cleveland,AL,Blount County,H1
35172,01009,Trafford,AL,Blount County,H1
35957,01009,Boaz,AL,Blount County,H1
35031,01009,Blountsville,AL,Blount County,H1
35133,01009,Remlap,AL,Blount County,H1
35976,01009,Guntersville,AL,Blount County,H1
35016,01009,Arab,AL,Blount County,H1
35121,01009,Oneonta,AL,Blount County,H1
35079,01009,Hayden,AL,Blount County,H1
35180,01009,Warrior,AL,Blount County,H1
35952,01009,Altoona,AL,Blount County,H1
36029,01011,Fitzpatrick,AL,Bullock County,H1
36052,01011,Mathews,AL,Bullock County,H1
36089,01011,Union springs,AL,Bullock County,H1
36860,01011,Hurtsboro,AL,Bullock County,H1
36031,01011,Fort davis,AL,Bullock County,H1
36081,01011,Troy,AL,Bullock County,H1
36053,01011,Midway,AL,Bullock County,H1
36005,01011,Banks,AL,Bullock County,H1
36830,01011,Auburn,AL,Bullock County,H1
36071,01013,Rutledge,AL,Butler County,H1
36015,01013,Chapman,AL,Butler County,H1
36042,01013,Honoraville,AL,Butler County,H1
36474,01013,Red level,AL,Butler County,H1
36033,01013,Georgiana,AL,Butler County,H1
36456,01013,Mc kenzie,AL,Butler County,H1
